field_0,dust,type,project,description,installs,links
4100,389,RFP,streflop,STandalone REproducible FLOating-Point library,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=820490
4101,1267,RFP,streql,Constant-time string comparison,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=764443
4102,2276,O,stymulator,Curses based player and converter for the YM chiptune format,20,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=673964
4103,1479,RFP,su2,Software for PDE based analysis and optimization,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=715509
4104,2209,O,subcommander,Graphical client for Subversion,98,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=683115
4105,1824,RFP,sublime-text,"sophisticated text editor for code, markup and prose",3860,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=682158
4106,359,RFP,subsurface,scuba diving logbook,15,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=824520
4107,1592,RFP,subtitleedit,a subtitle editor for video subtitles,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=743782
4108,625,O,suede,Suede icon theme for GTK+ 2.x,729,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=846120
4109,730,RFP,sugar-finance-ac[..],Finance is a simple financial planning activity for the [..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=783203
4110,168,O,sup,Software Upgrade Protocol implementation,22,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=891763
4111,609,RFP,superboucle,Loop based software fully controllable with any midi device,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=798580
4112,677,RFP,surfer-alggeo-gtk,interactive visualization of algebraic surfaces,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=791450
4113,262,RFP,surl,URL shortening command line application,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=729755
4114,1613,RFP,svgweb,provides SVG support on many browsers,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=650837
4115,1756,O,svn-buildpackage,helper programs to maintain Debian packages with Subversion,1033,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=726770
4116,1753,RFP,svnbook,"Subversion handbook (""Version Control With Subversion"")",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=487924
4117,2583,O,svnmailer,extensible Subversion commit notification tool,58,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=634213
4118,1877,O,svtools,Utilities for daemontools and multilog,45,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=714081
4119,1690,O,swaml,Semantic Web Archive of Mailing Lists,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=733540
4120,1481,RFP,swe-data,Swiss Ephemeris Data,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=636089
4121,733,RFP,swe-extrapolated[..],"Swiss Ephemeris data file for far past, far future",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=775249
4122,644,O,swedish,Swedish dictionary for ispell,1142,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=843755
4123,1890,O,sweep,Audio editor and live playback tool,228,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=540591
4124,962,RFP,sweethome3d-textures,Interior 2D design application with 3D preview (addition[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=740026
4125,235,O,swftools,Collection of utilities for SWF file manipulation/creation,693,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=885088
4126,111,RFH,swi-prolog,ISO/Edinburgh-style Prolog interpreter,1412,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=896458
4127,1648,O,swi-prolog-doc,Documentation for SWI-Prolog interpreter and XPCE,218,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=738305
4128,581,RFP,swiftlang,"Multi-paradigm, compiled programming language",1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=788327
4129,1648,O,swish++,Simple Document Indexing System for Humans: C++ version,1130,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=738474
4130,293,O,sxid,"suid, sgid file and directory checking",27,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=879873
4131,1820,RFP,sylkserver,SIP and XMPP conferencing,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=682698
4132,962,RFP,symlookup,Utility for object symbol search in installed libraries,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=770731
